Age;FPF;JJR;MAE-OG;JKB-VH;JAKR;EAAB;EMF;HM-NS;Blanco;NS/NC;edad.18.34;edad.35.54;edad.mas.54;independent;unemployed;overseas
25-34;3;1;2;0;2;0;4;1;2;3;6;4;2;5;1;0
25-34;3;1;2;0;4;0;3;1;2;5;6;4;2;3;1;0
25-34;3;2;1;0;4;0;5;1;2;3;8;6;4;5;2;1
25-34;3;2;1;0;4;0;5;0;2;3;10;6;4;5;1;0
25-34;3;2;1;0;4;0;5;1;2;3;7;5;3;4;1;0
25-34;3;1;2;0;4;0;3;1;2;5;6;4;2;3;1;0
25-34;5;3;2;1;4;1;6;0;2;5;8;6;5;4;2;1
25-34;0;1;0;0;2;0;3;0;1;4;5;3;2;2;1;0
25-34;5;3;2;1;4;1;6;1;3;7;8;6;2;4;2;1
25-34;5;3;2;1;4;0;6;1;2;3;10;7;5;6;2;1
25-34;2;1;1;1;3;0;4;1;2;5;10;6;4;4;2;1
25-34;0;1;2;0;1;0;3;0;1;4;5;3;2;4;1;0
25-34;0;1;0;0;2;0;3;0;1;2;4;3;2;3;1;0
25-34;5;2;1;0;3;0;4;1;2;3;7;4;3;5;1;0
35-44;3;2;1;0;4;0;5;1;2;3;6;8;4;5;1;0
35-44;3;2;1;0;4;0;5;1;2;3;4;5;2;3;1;0
35-44;3;1;2;0;4;0;5;1;2;6;7;8;3;4;1;0
35-44;3;1;2;0;4;0;5;1;2;3;6;7;3;4;1;0
35-44;3;1;2;0;4;0;3;1;2;5;4;6;3;2;1;0
35-44;5;3;2;1;4;0;6;1;2;3;8;10;4;5;2;1
35-44;5;3;2;1;4;0;6;1;2;3;7;8;3;4;1;0
35-44;0;1;1;0;2;0;3;0;1;4;3;4;1;2;1;0
35-44;2;1;1;0;3;0;4;0;1;2;5;6;3;4;1;0
35-44;3;1;2;0;4;0;5;1;2;6;7;8;5;4;2;1
35-44;3;2;1;1;4;0;5;1;2;1;6;10;4;3;1;0
35-44;2;1;1;0;3;0;2;1;1;4;5;7;3;3;1;0
35-44;0;1;0;0;2;0;3;0;1;4;3;4;0;2;1;0
35-44;8;3;2;1;4;0;5;1;2;6;7;9;3;4;1;0
35-44;12;4;3;1;5;0;6;2;3;7;8;10;6;4;2;1
35-44;2;1;1;0;4;0;5;1;2;4;8;9;3;6;2;1
35-44;3;2;1;0;4;0;3;1;2;5;6;7;3;4;1;0
35-44;12;5;3;1;4;0;6;2;3;7;10;15;6;8;2;1
35-44;3;1;2;0;4;0;5;1;3;6;8;10;7;4;2;1
35-44;0;1;0;0;2;0;3;0;1;4;3;5;2;2;1;0
35-44;12;5;3;1;7;0;8;2;4;6;10;9;4;7;2;1
35-44;0;1;2;0;3;0;4;1;2;3;4;5;2;3;1;0
35-44;0;1;0;0;2;0;3;0;1;4;3;5;1;2;1;0
35-44;5;3;2;1;4;1;6;0;2;3;7;8;3;4;2;1
35-44;0;1;1;0;2;0;3;0;1;2;3;4;2;2;1;0
35-44;3;1;2;0;4;0;3;1;2;5;4;6;3;2;1;0
35-44;3;2;1;0;4;0;5;1;2;6;4;6;3;2;1;0
35-44;3;2;2;1;4;1;6;1;3;7;10;15;5;8;3;2
35-44;3;2;1;0;4;0;5;1;2;6;7;8;3;4;1;0
35-44;3;2;1;0;4;0;5;1;2;3;4;7;3;5;1;0
35-44;5;2;1;0;3;0;4;1;2;3;6;4;3;5;1;0
35-44;3;2;1;0;4;0;5;1;2;3;4;6;3;2;1;0
35-44;0;1;0;0;2;0;3;0;1;4;3;5;1;2;0;0
35-44;12;5;3;1;4;0;7;2;3;6;8;10;6;4;1;0
35-44;4;2;1;0;3;0;5;1;2;3;6;5;3;4;1;0
35-44;3;2;1;0;4;0;5;1;2;3;4;5;3;2;1;0
45-54;3;2;1;0;4;0;5;1;2;3;4;6;2;3;1;0
45-54;5;3;2;1;4;0;6;1;2;4;5;7;3;4;1;0
45-54;12;4;3;1;7;0;9;1;2;5;6;11;7;4;2;1
45-54;3;2;1;0;4;0;5;1;2;3;4;6;5;3;1;0
45-54;5;3;2;1;4;0;6;1;2;3;7;8;3;4;1;0
45-54;2;1;1;0;3;0;5;1;2;5;6;10;4;4;2;1
45-54;12;5;3;1;7;0;9;2;4;6;8;10;9;5;2;1
45-54;3;1;2;0;4;0;5;1;2;3;4;6;3;5;1;0
45-54;3;2;1;0;4;0;5;1;2;3;4;7;2;3;1;0
45-54;3;1;2;0;4;0;5;1;2;3;4;7;2;3;1;0
45-54;2;1;2;1;4;0;5;1;2;2;6;9;5;4;2;1
45-54;5;3;2;1;4;0;6;1;2;3;4;7;3;5;1;0
45-54;12;5;3;1;7;0;9;2;4;6;8;10;5;7;2;1
45-54;3;2;1;1;7;0;6;1;2;7;10;14;6;8;3;1
45-54;12;5;3;1;4;0;6;1;2;7;8;10;7;5;1;0
45-54;2;3;1;0;4;1;5;2;4;8;10;12;8;6;3;1
45-54;2;1;1;1;4;0;5;1;2;3;6;9;5;4;2;1
45-54;2;1;1;1;3;0;4;1;2;5;6;9;5;5;2;1
45-54;3;2;1;0;4;0;5;1;2;3;4;6;3;5;1;0
45-54;3;2;1;0;4;0;5;1;2;6;4;7;3;2;1;0
45-54;3;1;2;0;4;0;5;1;2;3;4;6;3;2;1;0
45-54;10;3;2;1;5;0;4;1;2;6;8;10;6;7;1;0
45-54;3;2;1;0;4;0;5;1;2;3;6;7;4;5;1;0
45-54;5;3;2;1;4;0;6;1;2;7;4;6;5;3;1;0
45-54;2;1;1;0;3;0;2;0;1;4;3;5;2;2;1;0
45-54;0;1;0;0;2;0;3;0;1;2;3;4;1;2;1;0
45-54;3;2;1;0;4;0;5;1;2;3;6;7;4;5;1;0
45-54;2;1;1;0;4;0;5;1;2;4;6;9;5;4;2;1
45-54;12;3;2;1;4;0;5;1;2;3;7;8;5;4;1;0
45-54;3;1;2;0;4;0;5;1;2;3;4;6;3;2;1;0
45-54;12;5;3;1;7;0;9;2;4;6;8;10;6;3;1;0
45-54;3;2;1;0;4;0;5;1;2;3;4;6;2;3;1;0
>54;12;5;3;0;7;1;9;2;4;6;8;10;9;5;2;1
>54;3;2;1;0;5;0;8;1;4;6;8;12;10;7;3;1
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;2;1;0
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;1;0;0
>54;5;3;2;0;4;1;6;1;2;3;4;5;6;3;1;0
>54;1;2;1;0;3;0;5;0;2;3;4;7;6;3;2;1
>54;0;1;0;0;2;0;3;0;1;2;1;3;3;2;0;0
>54;3;2;1;0;4;0;5;1;2;3;4;6;7;3;1;0
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;1;0;0
>54;0;1;0;0;2;0;3;0;1;4;2;3;3;1;0;0
>54;5;2;3;1;4;1;6;3;2;3;8;12;10;6;2;1
>54;0;1;0;0;2;0;3;0;1;2;3;4;3;2;1;0
>54;5;3;2;1;4;1;6;1;2;3;4;6;5;3;1;0
>54;0;1;0;0;2;0;3;0;1;2;4;6;5;3;1;0
>54;12;5;3;1;7;0;9;2;4;6;8;10;9;3;2;1
>54;12;5;3;1;4;0;6;1;2;7;8;10;9;4;1;0
>54;0;1;0;0;2;0;3;0;1;2;3;2;3;2;1;0
>54;12;5;3;1;4;0;6;2;3;7;8;10;5;4;2;1
>54;3;2;1;0;4;0;5;1;2;3;4;6;5;3;1;0
>54;3;1;2;0;4;0;5;1;2;3;4;6;5;2;1;0
>54;2;1;1;0;3;0;5;1;2;5;6;7;7;4;2;1
>54;3;2;1;2;5;1;4;2;3;7;10;12;8;5;3;1
>54;3;1;2;0;4;0;5;1;2;3;4;6;5;3;1;0
>54;5;2;1;0;3;0;4;1;2;3;4;6;5;3;1;0
>54;12;5;3;1;7;0;8;2;4;6;10;8;7;5;1;0
>54;12;5;3;1;4;0;7;2;3;6;8;10;9;4;2;1
>54;12;5;3;1;8;0;10;2;4;6;7;9;11;5;2;1
>54;0;1;0;0;2;0;3;0;1;2;4;5;3;2;1;0
>54;2;1;0;0;3;0;4;0;1;2;3;5;4;2;1;0
>54;12;3;4;1;5;0;6;2;3;4;8;10;5;7;1;0
>54;3;2;1;0;4;0;5;1;2;3;4;6;5;3;1;0
>54;0;1;0;0;2;0;3;0;1;2;2;3;2;1;0;0
>54;2;1;1;0;3;0;4;1;1;2;4;6;5;3;2;1
>54;5;3;2;1;4;1;6;1;2;3;4;5;6;3;1;1
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;2;1;0
>54;2;1;1;0;4;0;6;1;2;3;6;8;6;5;2;1
>54;2;1;2;1;4;1;5;0;2;2;6;8;6;4;2;1
>54;0;1;0;0;2;0;3;0;1;2;4;3;2;1;0;0
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;3;1;0
>54;3;2;1;0;4;0;5;1;2;3;4;6;5;3;1;0
>54;12;5;3;1;7;0;9;2;4;6;8;10;9;7;2;1
>54;12;5;3;1;7;0;8;2;4;6;10;8;9;5;1;0
>54;3;2;1;0;4;0;5;1;2;3;4;6;5;3;1;0
>54;0;1;0;0;2;0;3;0;1;2;3;4;1;2;0;0
>54;0;1;2;0;3;0;2;0;1;2;4;3;2;1;0;0
>54;12;5;3;1;7;0;9;2;4;6;8;10;5;7;2;1
>54;5;3;2;1;4;0;6;1;2;3;4;6;5;3;1;0
>54;2;1;1;0;3;0;4;0;1;2;3;5;6;2;1;0
>54;3;2;1;0;4;0;5;1;2;3;4;5;3;2;1;1
>54;12;5;3;1;4;0;6;2;3;7;8;10;6;4;2;1
>54;0;1;0;0;2;0;3;0;1;2;3;4;2;1;0;0
>54;3;1;0;0;2;0;4;0;1;2;5;8;3;4;1;0
>54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
>54;2;1;1;0;3;0;4;0;2;3;4;5;2;3;1;0
>54;0;1;0;0;2;0;3;0;1;2;3;4;1;2;1;0
>54;3;2;1;1;5;1;6;1;3;7;10;12;8;6;3;1
>54;12;5;3;1;7;0;9;2;4;6;8;10;12;5;2;1
>54;0;1;0;0;2;0;3;0;1;2;4;5;3;2;1;0
>54;2;1;1;0;3;0;4;1;2;3;5;6;6;4;2;1
>54;3;1;2;0;4;0;3;1;2;1;4;6;3;2;1;0
>54;12;3;2;1;5;0;7;1;4;6;8;10;6;5;1;0
>54;12;3;2;1;5;0;7;1;4;6;8;10;6;5;1;0
>54;12;5;3;1;7;0;9;2;4;6;8;10;9;7;1;0
>54;12;5;3;1;7;0;9;2;4;6;10;8;7;5;1;0
>54;3;2;1;1;5;0;6;1;4;7;8;12;10;5;3;1
