age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
35-44;8;5;3;4;2;6;7;11;4;3;1;2
35-44;8;5;3;4;2;6;5;9;4;3;1;2
35-44;8;5;3;4;2;6;7;12;4;3;1;2
35-44;8;5;3;2;1;4;6;9;3;2;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;9;6;4;3;2;6;5;10;5;3;1;2
35-44;8;5;3;4;2;6;7;10;4;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;9;5;4;3;2;7;6;9;5;3;1;2
35-44;10;6;4;3;2;5;8;13;4;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;3;4;2;6;7;9;4;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;4;3;2;6;7;10;4;3;1;2
35-44;8;5;3;4;2;6;7;9;4;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;9;5;4;3;2;7;6;10;4;3;1;2
35-44;8;5;4;3;2;6;7;12;4;3;1;2
35-44;8;5;3;4;2;6;7;9;4;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;3;4;2;6;7;9;4;3;1;2
35-44;9;6;4;3;2;6;7;10;3;2;1;2
35-44;8;5;4;3;2;6;7;10;5;3;1;2
45-54;14;9;6;5;3;8;7;18;10;4;2;3
45-54;12;8;5;4;3;6;7;13;8;4;1;2
45-54;8;5;4;3;2;5;4;9;4;3;1;2
45-54;9;6;4;3;2;5;4;11;6;3;1;2
45-54;14;9;6;5;3;8;7;17;11;6;2;4
45-54;10;6;4;3;2;5;4;12;6;3;1;2
45-54;8;5;3;2;1;6;4;9;6;3;1;2
45-54;9;5;4;3;2;7;6;10;4;3;1;2
45-54;9;6;4;3;2;6;5;10;5;3;1;2
45-54;12;8;6;5;3;6;7;11;6;4;2;3
45-54;8;5;3;2;1;6;4;10;5;3;1;2
45-54;9;6;4;3;2;6;5;10;5;3;1;2
45-54;14;9;6;5;3;8;7;15;6;4;1;3
45-54;12;8;5;4;3;6;7;14;7;5;1;3
45-54;9;6;3;4;2;6;5;10;5;3;1;2
45-54;8;5;3;2;1;6;4;9;6;2;1;2
45-54;9;5;4;3;2;7;6;10;4;3;1;2
45-54;10;6;4;3;2;5;7;10;6;3;1;2
45-54;9;6;4;3;2;6;5;10;5;3;1;2
45-54;10;6;4;3;2;5;7;12;6;4;1;2
45-54;9;6;4;3;2;6;5;11;4;3;1;2
45-54;12;8;5;4;3;6;7;13;8;4;1;3
45-54;12;8;5;4;3;6;7;13;8;4;1;3
45-54;8;5;3;4;2;6;5;9;4;3;1;2
45-54;12;8;6;5;3;6;7;12;5;4;1;2
45-54;8;5;4;3;2;6;7;9;4;3;1;2
45-54;8;5;3;4;2;6;7;10;5;3;1;2
45-54;12;7;5;4;2;6;8;13;5;4;1;3
45-54;14;8;6;5;3;9;7;14;9;4;2;3
45-54;12;8;5;6;3;6;7;13;10;4;2;3
45-54;9;6;4;3;2;5;7;10;6;3;1;2
45-54;12;8;6;5;3;6;7;13;10;4;1;3
45-54;9;6;4;3;2;5;4;10;5;3;1;2
45-54;8;5;3;4;2;6;7;10;5;3;1;2
45-54;8;5;3;4;2;6;7;10;5;3;1;2
45-54;12;8;6;5;3;6;10;13;7;4;2;3
45-54;12;7;5;4;2;6;8;13;5;4;1;3
45-54;8;5;4;3;2;5;6;9;4;3;1;2
45-54;12;7;5;4;2;6;8;13;5;4;2;3
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
>54;;;;;;;;;;;;
