age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
>54;66.000-87.999;12;9;6;4;3;5;8;12;19;4;2;3
>54;66.000-87.999;12;7;5;4;3;9;8;10;22;6;2;4
>54;66.000-87.999;12;8;4;5;3;6;7;15;16;4;2;1
>54;66.000-87.999;12;8;5;4;3;6;10;14;14;3;2;1
>54;66.000-87.999;12;8;5;4;3;6;7;10;21;3;2;1
>54;66.000-87.999;12;8;4;3;2;6;7;10;18;5;2;1
>54;66.000-87.999;12;8;6;4;3;7;10;11;9;5;2;3
>54;66.000-87.999;12;9;6;4;3;5;7;15;17;6;2;3
>54;Pref. no;12;8;4;3;2;6;10;12;13;4;2;3
>54;Pref. no;12;7;5;4;3;9;6;10;24;4;2;3
>54;Pref. no;12;8;6;4;3;7;5;10;25;4;2;3
>54;Pref. no;12;9;5;4;3;7;6;10;14;2;1;3
