age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
45-54;5;3;2;2;1;2;3;6;6;2;1;1
>54;5;3;2;1;1;2;3;4;7;2;1;1
>54;6;4;3;2;1;4;3;7;6;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;3;2;2;1;4;4;6;7;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;6;4;3;2;2;3;5;6;9;2;1;1
>54;6;4;3;2;1;4;3;6;11;2;1;1
>54;6;4;3;2;2;3;5;7;8;2;1;1
>54;5;3;2;2;1;2;4;6;5;2;1;1
>54;5;4;3;2;1;2;4;6;7;2;1;1
>54;8;5;3;2;2;4;6;7;11;2;1;3
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;3;2;2;1;4;3;5;6;2;1;1
>54;5;3;2;2;1;4;4;6;7;2;1;1
>54;5;3;2;1;2;4;3;4;10;2;1;1
>54;6;4;3;2;1;4;3;7;6;2;1;1
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;7;5;3;2;1;4;6;8;8;2;1;1
>54;6;4;3;2;1;4;3;6;11;2;1;1
>54;6;4;3;2;2;5;4;8;10;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;6;4;3;2;2;3;4;6;10;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;4;3;2;1;2;4;6;7;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;3;2;2;1;4;3;5;6;2;1;1
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;6;4;3;2;1;4;5;6;9;2;1;1
>54;6;4;3;2;1;4;5;6;9;2;1;1
>54;7;5;3;2;2;4;6;8;9;3;1;2
>54;6;4;3;2;1;4;5;7;8;2;1;1
>54;5;4;3;2;2;4;3;6;7;2;1;1
>54;6;4;3;2;1;4;5;6;9;2;1;1
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;5;3;2;2;1;2;3;6;6;2;1;1
>54;5;3;2;2;1;2;3;5;7;1;1;1
>54;5;4;3;2;1;2;4;6;5;1;1;2
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;6;4;3;2;2;3;5;6;9;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;3;2;2;1;2;4;5;6;2;1;1
>54;6;4;3;2;1;4;5;6;5;2;1;1
>54;5;3;2;2;1;4;3;6;4;2;1;1
>54;6;4;3;2;1;4;3;6;11;2;1;1
>54;5;4;3;2;1;2;4;6;5;1;1;2
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;5;3;2;2;1;4;4;6;7;2;1;1
>54;6;4;3;2;1;4;3;7;10;2;1;1
>54;6;4;3;2;1;4;5;7;8;2;1;1
>54;6;4;3;2;1;4;5;6;9;2;1;1
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;3;2;2;1;4;3;5;6;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;6;4;3;2;1;4;3;7;10;2;1;1
>54;6;4;3;2;1;4;3;6;11;2;1;1
>54;6;4;3;2;1;4;5;7;8;2;1;1
>54;6;4;3;2;2;5;4;7;11;2;1;3
>54;8;5;4;3;2;3;6;9;10;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;4;3;2;1;2;4;6;5;1;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;1
>54;5;3;2;2;1;2;4;5;6;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;6;4;3;2;1;4;5;7;4;2;1;1
>54;6;4;3;2;1;4;3;7;10;2;1;1
>54;5;3;2;2;1;4;3;6;8;2;1;1
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;7;5;3;2;1;4;6;7;9;2;1;1
>54;8;6;4;3;2;5;4;10;14;3;1;2
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;4;3;2;1;2;3;6;6;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;6;4;3;2;1;4;5;6;9;2;1;3
>54;5;3;2;2;1;4;3;6;8;2;1;2
>54;5;4;3;2;1;2;3;6;8;2;1;1
>54;5;4;3;2;1;2;4;6;5;2;1;1
>54;5;4;3;2;1;6;4;7;10;2;1;3
>54;5;4;3;2;1;2;4;6;5;2;1;1
