age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
25-34;4;3;2;2;1;3;5;4;1;1;0;2
25-34;4;3;2;2;1;3;5;3;4;1;0;2
25-34;4;3;2;2;1;3;5;4;3;1;0;2
25-34;4;3;2;2;1;3;5;3;4;1;0;2
25-34;4;3;2;2;1;3;5;3;4;1;0;2
25-34;4;3;2;2;1;3;5;3;4;1;0;2
35-44;4;5;3;2;1;2;5;6;2;1;0;2
35-44;6;5;4;3;2;5;8;5;2;1;1;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;6;5;4;3;2;5;7;5;3;2;1;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;5;4;3;2;1;5;4;6;5;2;1;2
35-44;6;5;3;2;1;3;5;6;4;2;1;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;5;4;3;2;1;2;4;6;3;1;0;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;4;3;2;2;1;3;4;5;1;1;0;2
35-44;4;5;3;2;1;5;6;6;2;1;0;2
35-44;5;4;3;2;1;2;4;6;3;1;0;2
35-44;5;4;3;2;1;5;4;6;5;2;1;3
35-44;4;3;2;2;1;3;4;5;3;1;0;2
35-44;6;4;3;2;1;4;5;4;2;1;1;2
35-44;5;4;3;2;1;5;4;6;5;2;1;3
35-44;5;4;3;2;1;3;4;6;2;1;0;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;4;3;2;2;1;3;4;5;3;2;1;2
35-44;5;4;3;2;1;2;4;6;3;1;0;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;5;4;3;2;1;2;4;6;3;1;0;2
35-44;4;3;2;2;1;3;4;5;3;1;0;2
35-44;4;3;2;2;1;3;4;5;3;1;1;2
35-44;6;5;3;2;1;3;4;6;7;2;1;2
35-44;6;5;3;2;1;3;5;6;4;2;1;2
35-44;4;3;2;2;1;3;4;5;2;1;0;2
35-44;4;3;2;2;1;3;3;4;2;1;0;2
35-44;5;4;3;2;1;5;4;6;5;2;1;2
35-44;5;4;3;2;1;2;4;6;3;1;0;2
45-54;6;5;4;3;2;5;4;6;5;2;1;3
45-54;5;4;3;2;1;2;3;6;3;1;0;2
45-54;5;4;3;2;1;2;3;6;4;1;0;2
45-54;4;3;2;2;1;3;3;4;2;1;0;2
45-54;6;4;3;2;1;4;3;6;7;2;1;3
45-54;5;6;3;2;1;3;4;8;5;2;1;2
45-54;5;4;3;2;1;5;4;6;5;2;1;2
45-54;5;4;3;2;1;2;3;5;5;1;0;1
45-54;6;5;4;3;2;5;4;6;5;2;1;3
45-54;6;4;3;2;1;4;5;7;4;2;1;3
45-54;5;4;3;2;1;2;4;6;3;1;0;2
45-54;5;4;3;2;1;2;3;6;4;2;1;1
45-54;6;5;3;2;1;3;4;7;6;2;1;2
45-54;6;5;4;3;2;5;4;7;4;2;1;3
45-54;5;4;3;2;1;3;4;6;2;1;1;2
45-54;5;4;3;2;1;2;4;6;3;1;0;2
45-54;5;4;3;2;1;2;4;6;3;1;0;2
45-54;6;5;4;3;2;5;4;6;5;2;1;3
45-54;5;6;3;2;1;3;4;8;5;2;1;2
45-54;6;4;3;2;1;4;5;7;4;2;1;2
45-54;6;5;3;2;1;3;4;8;4;2;1;2
45-54;6;5;4;3;2;5;4;7;4;2;1;3
45-54;6;5;3;2;1;3;4;6;4;2;1;2
45-54;5;4;3;2;1;2;4;6;3;1;0;2
45-54;6;4;3;2;1;4;3;6;7;2;1;3
45-54;6;4;3;2;1;4;5;6;5;2;1;2
45-54;6;5;3;2;1;3;4;7;4;2;1;2
45-54;5;4;3;2;1;2;3;6;6;2;1;2
45-54;6;5;3;2;1;3;4;7;4;2;1;2
45-54;6;5;3;2;1;3;4;6;7;2;1;2
45-54;5;4;3;2;1;2;3;5;2;1;0;2
45-54;4;3;2;2;1;3;4;5;6;1;0;2
45-54;6;5;3;2;1;3;4;6;7;2;1;2
45-54;6;5;3;2;1;3;4;7;9;2;1;2
45-54;6;5;4;3;2;5;4;6;5;2;1;3
45-54;6;4;3;2;1;4;5;7;4;2;1;2
45-54;5;4;3;2;1;3;4;6;2;1;1;2
45-54;4;3;2;2;1;3;4;5;3;1;0;2
45-54;6;4;3;2;1;4;5;6;5;2;1;2
>54;6;5;3;2;2;4;3;4;5;2;1;2
>54;6;5;3;2;2;4;4;6;8;2;1;1
>54;5;4;3;2;1;2;3;5;2;1;0;1
>54;5;4;3;2;1;2;3;5;2;1;0;1
>54;5;6;3;2;1;3;4;7;9;2;1;2
>54;5;4;3;2;1;5;2;4;4;1;0;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;5;4;3;2;5;4;5;6;2;1;2
>54;8;6;4;3;2;2;4;6;5;2;1;1
>54;6;4;3;2;1;4;5;6;5;2;1;2
>54;6;4;3;2;1;4;5;6;5;2;1;1
>54;6;4;3;2;1;4;5;4;7;2;1;3
>54;8;6;4;3;2;2;5;8;12;3;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;8;6;4;3;2;5;4;6;8;2;1;3
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;4;3;2;1;4;5;4;7;2;1;3
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;5;3;2;1;3;4;7;6;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;5;4;3;2;1;2;3;4;5;1;0;2
>54;6;4;3;2;1;4;5;6;5;2;1;2
>54;6;4;3;2;1;4;3;6;7;2;1;3
>54;6;4;3;2;1;4;3;4;9;2;1;3
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;5;4;3;2;1;2;3;4;5;1;1;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;5;3;2;1;4;3;4;4;1;0;2
>54;6;5;3;2;1;3;4;7;6;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;1
>54;6;5;3;2;1;4;3;5;6;2;1;2
>54;5;4;3;2;1;2;3;4;5;1;1;2
>54;6;5;4;3;2;5;4;6;5;1;0;2
>54;5;4;3;2;1;2;3;4;5;1;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;8;5;4;3;2;3;5;7;8;2;1;2
>54;8;6;5;3;2;4;7;6;5;2;1;3
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;5;4;3;2;5;4;6;5;2;1;3
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;5;3;2;1;4;3;5;8;2;1;2
>54;5;4;3;2;1;2;4;6;3;1;0;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;3
>54;5;4;3;2;1;2;3;5;2;1;0;1
>54;6;4;3;2;1;4;3;5;8;2;1;1
>54;6;5;4;3;2;5;4;6;5;1;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;1
>54;6;5;3;2;1;3;4;6;7;2;1;1
>54;6;4;3;2;1;4;3;5;8;2;1;3
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;5;4;3;2;1;2;3;4;5;1;0;1
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;2
>54;5;4;3;2;1;2;3;4;5;1;1;2
>54;6;4;3;2;1;4;5;6;5;2;1;2
>54;6;4;3;2;1;4;3;5;8;2;1;3
>54;6;5;3;2;1;3;4;5;6;1;0;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;5;3;2;1;3;4;6;7;2;1;2
>54;6;5;3;2;1;4;3;5;8;2;1;2
>54;5;7;2;3;1;4;6;5;8;7;2;1
>54;12;8;4;3;2;6;7;9;14;5;2;3
>54;5;8;2;3;1;4;6;7;7;8;2;1
>54;5;7;2;3;1;4;6;5;8;4;2;1
>54;12;8;4;5;3;6;7;9;12;5;2;3
>54;12;8;3;5;2;4;6;7;11;3;2;1
>54;12;8;3;5;2;4;6;7;11;3;2;1
>54;12;15;3;5;2;8;7;10;18;6;4;3
>54;12;8;3;4;2;5;6;7;9;4;2;3
>54;12;15;3;7;2;5;8;10;14;6;4;3
>54;12;15;3;5;2;8;7;10;15;6;4;3
>54;12;8;3;5;2;4;6;7;11;3;2;1
>54;12;8;3;5;2;4;6;7;11;3;2;1
>54;10;8;3;5;2;4;6;7;9;3;2;1
>54;5;7;2;3;1;4;6;5;8;3;2;1
>54;12;8;3;5;2;4;6;7;11;5;2;3
>54;12;8;3;4;2;6;5;7;11;4;2;3
>54;8;10;3;6;2;4;5;8;10;3;2;1
