age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
44-54;7;6;4;3;2;5;6;9;5;3;1;2
44-54;8;6;4;3;2;7;5;10;5;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;7;5;4;3;2;4;6;9;5;3;1;2
44-54;7;5;4;3;2;6;5;9;6;3;1;2
44-54;8;6;4;3;2;5;7;9;4;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;5;7;10;6;3;1;2
>54;9;6;4;2;1;3;2;6;7;3;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;2
>54;8;6;4;3;2;5;4;7;12;3;1;2
>54;12;8;6;4;3;7;5;9;16;4;2;3
>54;12;8;6;4;3;7;5;10;15;4;1;2
>54;9;5;4;2;1;3;4;7;13;3;1;2
>54;8;5;3;2;1;4;3;6;10;2;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;2
>54;9;6;4;2;1;3;4;7;14;3;1;2
>54;10;6;4;3;2;5;4;7;19;5;1;3
>54;8;6;4;3;2;5;4;7;12;3;1;2
>54;9;6;4;2;3;5;4;7;18;5;1;3
>54;10;6;4;2;3;5;4;8;18;3;1;2
>54;8;5;4;2;1;3;4;6;13;3;1;2
>54;9;6;4;3;2;5;4;7;18;3;1;2
>54;8;6;4;3;2;5;4;7;10;3;1;2
>54;9;6;3;2;1;4;3;7;10;2;1;2
>54;10;6;4;3;2;5;4;8;18;5;1;3
>54;8;5;3;2;1;4;3;6;9;2;1;1
>54;9;6;4;3;2;5;4;8;17;3;1;2
>54;8;5;3;2;1;4;3;6;14;4;1;2
>54;10;6;4;3;2;5;4;8;18;5;1;3
>54;12;8;5;4;3;6;4;10;24;5;2;3
>54;9;6;4;3;2;5;4;7;10;3;1;2
>54;8;5;3;2;1;4;3;6;10;2;1;2
>54;8;5;3;2;1;4;3;6;9;2;1;2
>54;12;8;5;3;2;6;4;9;23;5;1;3
>54;8;6;4;3;2;5;4;7;17;5;1;3
>54;8;5;4;3;2;6;4;7;17;5;1;3
>54;12;8;6;4;3;7;5;9;13;4;1;2
>54;8;5;3;2;1;4;3;6;9;2;1;2
>54;9;6;4;3;2;5;4;7;8;3;1;2
>54;12;8;6;3;2;4;5;10;20;4;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;2
>54;12;8;6;4;3;7;5;9;23;6;2;3
>54;12;8;6;4;3;7;5;10;15;4;1;3
>54;12;8;6;4;3;7;5;10;15;4;2;3
>54;12;8;6;3;2;4;5;10;20;4;1;3
>54;12;8;5;3;2;6;7;10;9;4;1;2
>54;8;5;3;2;1;4;3;6;9;2;1;2
>54;18;9;6;4;3;5;7;10;18;4;1;2
>54;12;8;6;4;3;7;5;9;16;4;1;3
>54;12;8;5;3;2;6;4;9;23;7;2;3
>54;12;8;5;3;2;6;4;9;23;5;2;3
>54;12;8;6;4;3;7;5;9;16;4;1;2
>54;9;6;4;3;2;5;4;7;18;3;1;2
>54;12;8;5;3;2;4;4;7;23;6;1;3
>54;9;6;4;3;2;5;4;7;18;3;1;2
>54;6;4;3;2;1;2;3;4;8;2;1;1
>54;8;5;3;4;2;3;6;7;10;5;2;3
>54;6;4;3;2;1;2;5;4;8;3;2;2
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;6;3;2;1;1;2;4;3;5;2;1;1
>54;6;4;3;2;1;2;5;6;7;3;2;1
>54;6;4;3;2;1;2;3;4;8;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;1;1;2;4;3;6;3;2;1
>54;6;4;2;3;1;4;3;5;7;2;1;2
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;6;4;3;2;1;2;3;4;8;3;2;1
>54;5;3;2;1;1;3;4;3;7;2;1;2
>54;5;3;2;1;1;2;3;4;6;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;6;4;3;2;1;2;3;4;6;2;1;1
>54;8;5;4;3;2;3;6;5;9;4;2;3
>54;6;4;3;2;1;2;5;4;8;3;2;1
>54;6;4;2;3;1;2;3;4;10;3;2;1
>54;8;5;3;2;2;1;4;5;10;3;2;1
>54;6;4;3;2;1;2;3;4;8;3;2;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;4;1;2;3;4;5;2;1;1
>54;5;3;2;1;1;3;4;5;5;3;2;2
>54;6;3;2;1;1;2;4;3;7;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;1;2;2;4;3;6;2;1;1
>54;6;4;3;2;1;2;5;4;8;3;2;1
>54;6;4;3;2;1;2;3;4;5;2;1;1
>54;5;3;2;1;1;2;4;3;7;2;1;1
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;6;4;2;3;1;2;3;4;8;2;1;1
>54;6;3;2;1;1;2;3;4;7;2;1;1
>54;6;4;3;2;1;2;5;6;7;3;2;1
>54;5;3;2;2;1;2;4;5;6;3;2;2
>54;5;3;2;1;1;2;4;3;6;2;1;1
>54;5;3;2;4;1;2;6;5;6;3;2;1
>54;5;3;2;1;1;2;4;3;4;2;1;1
