age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
25-34;44.000-65.999;12;8;5;3;2;10;15;12;13;4;2;3
25-34;44.000-65.999;12;7;5;3;2;6;15;12;8;4;1;2
25-34;44.000-65.999;12;8;4;5;3;6;18;12;8;5;2;3
25-34;66.000-87.999;12;8;6;4;3;7;15;10;5;4;2;1
25-34;Pref. no;12;8;6;4;3;7;14;10;6;2;1;3
25-34;Pref. no;12;9;5;4;3;7;14;11;15;6;2;4
35-44;88.000-109.999;12;8;4;3;2;6;10;16;9;5;2;3
35-44;88.000-109.999;12;9;5;4;3;7;10;18;12;6;2;1
35-44;88.000-109.999;12;8;6;4;3;7;10;16;14;5;2;3
35-44;110.000-131.999;12;6;4;3;2;5;10;15;7;6;2;3
35-44;110.000-131.999;12;8;4;5;3;6;10;20;8;7;3;2
35-44;<22.000;4;6;1;2;1;5;7;9;3;1;0;4
35-44;<22.000;7;6;2;4;3;8;10;7;3;2;0;5
35-44;<22.000;5;7;2;3;1;4;6;9;7;2;0;3
35-44;<22.000;3;4;1;2;2;5;6;7;4;1;0;3
35-44;<22.000;6;4;2;3;1;4;5;7;8;1;0;3
35-44;<22.000;6;4;3;2;1;4;5;8;7;2;1;3
35-44;<22.000;7;5;2;3;1;6;8;9;7;2;1;4
35-44;<22.000;7;5;3;4;2;9;8;10;12;3;1;4
35-44;<22.000;3;4;2;1;1;4;5;6;4;2;0;3
35-44;<22.000;7;5;3;4;2;6;8;10;9;2;1;3
35-44;<22.000;6;5;3;2;1;8;7;6;2;1;0;4
35-44;22.000-43.999;12;9;5;4;3;7;10;15;8;3;1;4
35-44;22.000-43.999;12;9;4;3;2;10;8;15;7;3;1;5
35-44;22.000-43.999;12;9;4;3;2;5;8;15;12;3;1;4
35-44;22.000-43.999;12;9;5;4;3;7;10;15;5;2;1;3
35-44;22.000-43.999;12;8;4;3;2;6;10;15;10;4;1;5
35-44;22.000-43.999;12;8;5;4;3;6;10;15;13;4;1;3
35-44;22.000-43.999;12;8;5;4;3;8;10;15;5;2;1;3
35-44;22.000-43.999;12;9;4;5;3;7;10;18;12;3;1;4
35-44;44.000-65.999;12;9;6;5;3;10;8;15;12;4;2;3
35-44;44.000-65.999;12;8;4;3;2;6;10;16;9;4;1;2
35-44;66.000-87.999;12;4;3;2;1;5;7;13;7;4;2;3
35-44;66.000-87.999;12;8;6;5;3;6;10;18;12;4;2;3
35-44;66.000-87.999;12;6;5;4;3;10;8;15;17;6;2;4
35-44;66.000-87.999;12;9;6;4;3;7;10;14;7;4;2;3
35-44;66.000-87.999;12;6;5;4;3;10;8;13;9;4;2;3
35-44;66.000-87.999;12;6;5;4;2;8;10;13;14;3;2;3
35-44;Pref. no;12;8;5;4;3;6;10;18;10;4;2;3
45-54;88.000-109.999;12;8;5;3;2;10;9;18;13;4;2;3
45-54;88.000-109.999;12;7;4;3;2;6;5;17;12;4;2;3
45-54;88.000-109.999;12;8;6;3;2;4;7;14;14;5;2;1
45-54;88.000-109.999;12;8;6;4;3;7;9;14;17;5;2;1
45-54;88.000-109.999;12;9;4;3;2;5;7;16;12;6;2;1
45-54;110.000-131.999;12;6;5;3;2;7;4;10;11;3;2;1
45-54;110.000-131.999;12;5;4;3;2;4;6;11;13;5;2;1
45-54;110.000-131.999;12;7;4;3;2;5;8;13;12;6;3;2
45-54;<22.000;4;6;1;3;2;5;6;8;7;1;0;4
45-54;<22.000;3;4;1;2;2;5;4;6;7;1;0;3
45-54;<22.000;7;6;2;3;1;5;4;9;11;2;0;3
45-54;<22.000;3;5;2;1;1;4;4;6;6;2;0;3
45-54;<22.000;6;5;2;3;1;8;7;6;12;3;1;5
45-54;<22.000;8;6;3;2;1;5;4;10;11;2;1;3
45-54;<22.000;4;6;2;3;1;5;3;7;6;2;0;4
45-54;<22.000;8;6;2;3;1;5;4;9;12;2;0;3
45-54;<22.000;12;7;4;5;3;9;8;13;19;2;0;6
45-54;22.000-43.999;12;9;6;4;3;5;7;15;17;4;2;3
45-54;22.000-43.999;12;9;5;4;3;7;6;18;16;2;1;4
45-54;22.000-43.999;12;8;4;3;2;6;7;13;15;3;1;4
45-54;22.000-43.999;12;8;4;3;2;6;10;15;10;4;1;3
45-54;22.000-43.999;12;9;6;4;3;8;7;15;20;4;1;5
45-54;22.000-43.999;12;9;5;4;3;7;6;17;17;3;1;4
45-54;22.000-43.999;12;8;5;4;3;6;10;15;13;4;2;3
45-54;22.000-43.999;12;9;4;5;3;7;6;16;18;3;1;4
45-54;22.000-43.999;12;8;5;4;3;10;9;14;19;6;2;7
45-54;22.000-43.999;12;9;5;3;4;7;6;14;20;3;1;2
45-54;44.000-65.999;12;8;6;3;2;9;10;14;16;4;2;3
45-54;44.000-65.999;12;8;4;3;2;6;7;14;14;5;2;3
45-54;44.000-65.999;12;9;5;4;3;7;10;18;12;4;2;3
45-54;44.000-65.999;12;7;4;5;3;9;10;15;15;4;2;3
45-54;66.000-87.999;12;6;5;3;2;7;6;13;16;4;2;1
45-54;66.000-87.999;12;6;5;3;2;7;5;15;15;4;2;1
45-54;66.000-87.999;12;7;4;2;3;5;6;11;16;4;2;1
45-54;66.000-87.999;12;9;4;3;2;5;7;14;14;3;1;2
45-54;Pref. no;12;9;5;4;3;7;8;15;17;6;2;5
45-54;Pref. no;12;8;4;3;2;6;7;12;16;5;2;4
45-54;Pref. no;12;8;4;3;2;6;7;14;14;3;2;2
45-54;Pref. no;12;8;5;4;3;6;7;15;16;4;2;3
>54;88.000-109.999;12;6;4;3;2;8;5;10;20;3;1;2
>54;88.000-109.999;12;6;4;3;2;8;7;10;18;5;2;1
>54;88.000-109.999;12;6;4;2;1;5;7;10;13;4;2;1
>54;88.000-109.999;12;7;5;3;2;6;8;10;17;4;2;1
>54;88.000-109.999;12;7;5;3;2;6;8;10;17;4;2;1
>54;88.000-109.999;12;8;5;3;2;6;7;10;19;4;2;1
>54;88.000-109.999;12;8;4;3;2;6;5;10;20;3;2;1
>54;88.000-109.999;12;8;5;3;2;4;7;10;17;6;2;1
>54;88.000-109.999;12;8;5;3;2;6;9;10;17;4;2;1
>54;110.000-131.999;12;7;4;2;3;6;5;10;19;3;2;1
>54;110.000-131.999;12;5;4;3;2;6;7;10;15;4;2;1
>54;110.000-131.999;12;7;4;3;2;6;5;10;19;3;2;1
>54;<22.000;12;9;4;3;2;7;6;10;21;2;1;5
>54;<22.000;12;7;3;4;2;6;5;10;19;2;0;6
>54;<22.000;12;9;3;2;1;6;7;10;16;2;1;4
>54;<22.000;7;5;3;2;1;6;4;7;13;2;0;5
>54;<22.000;12;8;4;3;2;6;5;10;20;3;1;4
>54;<22.000;8;5;3;2;1;6;7;6;12;2;0;5
>54;<22.000;12;8;4;3;2;6;5;10;20;3;1;7
>54;<22.000;8;6;3;2;1;5;7;6;12;3;1;4
>54;<22.000;7;5;3;2;1;4;6;7;9;2;1;3
>54;<22.000;12;8;4;3;2;6;5;9;21;3;1;4
>54;<22.000;8;6;3;2;1;5;7;6;12;2;1;4
>54;<22.000;7;5;3;2;1;4;6;5;11;2;1;3
>54;<22.000;12;9;4;3;2;5;6;10;19;3;1;4
>54;<22.000;12;9;5;4;3;7;10;15;15;4;1;6
>54;22.000-43.999;12;9;4;3;2;5;6;10;19;3;1;4
>54;22.000-43.999;12;9;5;4;3;7;8;10;12;3;1;2
>54;22.000-43.999;12;9;5;4;3;7;6;11;13;2;1;3
>54;22.000-43.999;12;8;4;3;2;6;7;10;18;5;2;3
>54;22.000-43.999;12;9;4;3;2;5;6;10;19;3;1;2
>54;22.000-43.999;12;9;5;3;2;4;6;10;19;3;1;2
>54;22.000-43.999;12;9;5;3;2;4;7;10;18;6;1;3
>54;22.000-43.999;12;9;6;4;3;7;8;10;23;2;1;5
>54;22.000-43.999;12;8;4;3;2;6;7;10;18;4;1;2
>54;22.000-43.999;12;9;4;3;2;5;6;8;21;3;2;4
>54;22.000-43.999;12;9;4;3;2;5;6;10;19;4;1;2
>54;22.000-43.999;12;9;6;4;3;5;8;10;21;3;2;4
>54;22.000-43.999;12;9;5;4;3;7;8;10;22;4;2;3
>54;22.000-43.999;12;9;4;3;2;5;6;10;19;3;1;4
>54;22.000-43.999;12;8;4;3;2;6;5;10;20;3;1;4
>54;22.000-43.999;12;9;5;4;3;7;6;10;14;3;1;2
>54;22.000-43.999;12;9;6;4;3;8;10;14;18;5;2;3
>54;22.000-43.999;12;8;5;3;2;10;6;10;24;3;1;4
>54;22.000-43.999;12;9;5;3;2;4;8;10;17;3;1;2
>54;44.000-65.999;12;7;5;4;3;9;10;15;15;6;2;4
>54;44.000-65.999;12;9;6;4;3;5;8;10;21;4;2;3
>54;44.000-65.999;12;8;5;4;3;6;10;13;15;4;2;3
>54;44.000-65.999;12;8;4;3;2;6;10;12;13;5;2;3
>54;44.000-65.999;12;9;4;3;2;5;6;11;18;3;1;2
>54;44.000-65.999;12;9;4;3;2;5;8;10;17;6;2;3
>54;44.000-65.999;12;8;4;3;2;6;7;9;19;3;1;2
>54;44.000-65.999;12;8;5;4;3;6;7;10;21;4;2;3
>54;44.000-65.999;12;9;5;4;3;7;8;13;19;6;2;4
>54;44.000-65.999;12;8;4;3;2;6;7;10;18;5;2;3
>54;44.000-65.999;12;8;5;3;2;10;9;11;20;4;2;3
>54;44.000-65.999;12;8;5;3;2;6;7;10;19;4;2;1
>54;44.000-65.999;12;9;6;4;3;7;10;12;19;5;2;3
>54;44.000-65.999;12;8;4;3;2;6;7;10;18;5;2;3
>54;44.000-65.999;12;9;6;4;3;8;10;12;20;4;2;5
>54;44.000-65.999;12;9;6;4;3;5;7;11;21;4;2;3
>54;44.000-65.999;12;8;5;4;3;6;10;12;16;4;2;3
>54;66.000-87.999;12;9;5;4;3;7;8;10;22;6;2;3
>54;66.000-87.999;12;8;5;4;3;6;7;10;21;4;2;3
>54;66.000-87.999;12;9;4;3;2;5;8;11;16;3;2;1
>54;66.000-87.999;12;8;5;3;2;10;7;10;23;6;2;3
>54;66.000-87.999;12;9;6;4;3;7;8;10;23;5;2;3
>54;66.000-87.999;12;8;5;4;3;10;9;11;22;6;2;1
>54;66.000-87.999;12;8;6;3;2;4;7;10;18;5;2;1
>54;66.000-87.999;12;9;6;3;2;8;10;12;18;4;2;1
>54;66.000-87.999;12;9;6;3;2;8;10;12;18;4;2;3
>54;66.000-87.999;12;9;6;4;3;5;10;14;15;3;2;1
>54;66.000-87.999;12;9;6;4;3;8;10;14;18;5;2;3
>54;66.000-87.999;12;7;5;3;2;6;8;11;16;4;2;1
>54;66.000-87.999;12;9;6;4;3;5;7;11;21;4;2;1
>54;Pref. no;12;8;6;4;3;7;10;15;15;4;2;1
>54;Pref. no;12;9;6;4;3;7;8;10;23;5;2;3
>54;Pref. no;12;8;5;4;3;6;7;11;20;4;2;1
>54;Pref. no;12;9;6;3;2;8;7;10;23;4;2;3
>54;Pref. no;12;9;6;3;2;8;7;10;23;4;1;3
>54;Pref. no;12;9;4;3;2;5;6;10;19;3;1;2
>54;Pref. no;12;8;4;3;2;6;7;10;18;3;2;1
>54;Pref. no;8;5;4;2;3;6;7;9;12;3;1;2
