age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
>54;12;8;4;3;2;6;7;10;18;3;1;2
>54;12;8;6;4;3;7;9;10;11;2;1;3
>54;12;9;5;4;3;7;6;10;17;4;2;3
>54;12;8;4;5;3;6;7;10;21;3;2;1
>54;12;9;6;4;3;5;7;10;22;4;2;3
>54;12;8;6;5;3;4;9;11;18;4;2;3
>54;23;17;9;6;4;11;10;24;36;7;2;3
>54;12;9;6;4;3;5;7;13;19;4;2;3
>54;12;8;4;6;3;7;10;11;9;4;2;3
>54;12;9;4;3;2;5;8;10;17;4;1;2
>54;12;8;4;3;2;6;7;10;18;5;2;3
>54;22;17;9;11;5;6;14;20;36;7;2;3
>54;12;9;6;5;3;10;8;14;23;4;2;3
>54;12;8;5;4;3;6;10;15;13;4;2;3
>54;12;8;5;4;3;6;10;12;16;4;1;3
>54;12;9;6;4;3;5;10;14;15;3;2;1
>54;12;8;5;4;3;6;10;14;14;3;1;2
>54;12;9;5;6;3;8;10;11;12;2;1;3
>54;12;8;4;3;2;6;10;14;11;5;1;2
>54;12;8;4;5;3;6;9;11;18;3;1;2
>54;12;9;5;4;3;7;10;14;16;2;1;3
>54;12;8;6;4;3;7;10;11;9;2;1;3
>54;23;12;9;7;4;5;10;20;30;3;2;1
>54;12;9;6;4;3;5;10;14;15;3;1;2
>54;12;9;4;3;2;5;6;10;19;3;1;2
>54;22;15;9;7;3;5;12;20;29;6;2;4
>54;12;8;5;3;4;6;10;12;16;4;1;2
>54;12;9;6;4;3;5;8;10;21;3;1;2
>54;12;9;4;5;3;7;10;15;15;2;1;3
>54;12;8;5;4;3;6;10;12;16;3;2;4
>54;12;9;4;6;3;5;7;10;22;3;2;1
>54;23;15;8;6;4;12;10;18;30;5;2;3
>54;23;17;9;6;4;11;12;20;38;5;2;3
>54;12;8;4;3;2;6;7;10;18;5;1;2
>54;12;8;5;4;3;6;7;15;16;4;2;3
>54;18;12;8;6;3;5;10;20;22;7;2;4
>54;12;8;5;4;3;6;10;11;17;3;2;1
>54;12;8;4;3;2;6;7;10;18;2;1;3
>54;12;8;4;3;2;6;10;9;16;3;2;1
>54;12;8;6;4;3;7;10;12;18;5;2;3
>54;23;14;7;6;3;9;12;18;22;5;2;4
>54;12;8;5;4;3;6;10;12;16;4;2;3
>54;12;8;6;5;4;10;8;14;23;5;2;3
>54;18;9;5;4;3;6;7;11;27;3;1;2
>54;12;9;5;3;2;4;6;10;19;3;1;2
>54;12;8;5;6;3;4;10;15;9;2;1;3
>54;12;8;5;4;3;6;7;10;21;2;1;3
>54;12;8;6;5;3;4;9;11;18;4;2;3
>54;12;9;5;6;3;7;8;10;14;2;1;3
>54;23;17;8;5;4;12;10;20;39;6;2;3
>54;12;9;6;4;3;7;8;11;22;5;1;3
>54;12;8;6;4;3;7;10;11;9;3;2;1
>54;12;9;5;4;3;7;6;10;14;2;1;3
>54;12;9;4;3;2;5;7;10;18;4;1;2
>54;23;15;12;10;5;8;14;20;39;7;2;4
>54;18;10;7;4;3;8;12;16;22;6;2;3
>54;12;8;5;4;3;6;10;14;14;3;2;1
>54;12;8;5;4;3;6;10;15;13;4;2;3
>54;12;8;5;4;3;6;9;10;19;3;1;2
>54;12;9;6;5;3;8;7;10;26;4;2;3
>54;23;17;9;6;5;10;12;21;37;4;2;3
>54;12;9;4;5;3;7;8;10;15;2;1;3
>54;12;8;5;6;3;10;7;13;24;4;2;3
>54;12;8;4;3;2;6;7;10;18;5;2;3
>54;12;8;4;3;2;6;10;9;16;4;1;2
>54;12;8;4;5;3;6;7;10;21;3;1;2
>54;12;8;6;5;3;4;10;15;13;6;2;3
>54;12;8;6;4;3;7;10;15;5;4;2;3
>54;18;10;7;5;3;12;8;15;32;6;2;4
>54;18;10;7;5;3;7;8;10;12;4;2;3
