age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;7;5;4;3;2;4;6;9;5;3;1;2
45-54;8;6;4;3;2;5;7;9;6;3;1;2
45-54;8;6;4;3;2;7;5;10;5;3;1;2
45-54;8;6;4;3;2;5;7;9;6;3;1;2
45-54;7;6;4;3;2;5;4;10;5;3;1;2
45-54;8;6;4;3;2;7;5;10;5;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;9;7;4;3;2;5;6;10;4;3;1;2
45-54;8;6;4;3;2;7;5;10;5;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;7;6;4;3;2;5;6;9;4;3;1;2
45-54;8;6;4;3;2;5;4;9;5;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;5;7;10;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;5;7;9;6;3;1;2
45-54;9;7;4;3;2;5;6;8;5;3;1;2
45-54;6;5;3;2;1;3;4;7;4;2;1;2
45-54;8;6;4;3;2;7;5;10;5;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;7;4;3;2;6;5;10;5;3;1;2
>54;8;6;3;2;1;4;2;5;10;3;1;2
>54;8;6;3;2;1;5;3;7;10;4;1;2
>54;9;6;3;2;2;4;3;7;12;4;1;2
>54;12;8;5;3;2;4;6;10;18;5;1;3
>54;9;7;4;2;3;5;4;8;10;3;1;2
>54;9;6;4;2;1;3;2;5;8;3;1;2
>54;12;9;5;3;2;4;6;10;19;4;1;3
>54;8;5;3;2;1;4;3;7;8;2;1;2
>54;8;6;4;2;1;3;2;5;7;3;1;2
>54;8;6;4;2;1;3;2;5;10;3;1;2
>54;9;6;4;2;1;3;2;5;8;3;1;2
>54;12;9;6;3;2;5;4;8;25;6;2;4
>54;10;7;4;2;1;3;4;6;17;5;1;2
>54;12;8;6;4;3;7;5;9;16;4;1;3
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;12;8;5;3;2;6;4;9;17;5;1;3
>54;10;6;4;2;1;3;3;7;16;4;1;2
>54;8;6;4;2;1;3;2;5;17;4;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;12;9;6;3;2;5;4;8;25;6;1;3
>54;8;5;3;2;1;4;3;6;9;2;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;8;6;4;2;1;3;5;7;12;3;1;2
>54;12;8;6;3;2;4;5;10;20;4;1;3
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;8;6;4;2;1;3;5;7;12;3;1;2
>54;8;6;4;3;2;5;4;7;9;3;1;2
>54;8;6;4;2;1;3;3;7;14;4;1;2
>54;9;7;4;2;1;3;4;6;16;5;1;2
>54;9;6;4;2;1;3;4;7;14;5;1;2
>54;12;8;6;3;2;4;5;9;21;4;1;3
>54;8;6;4;2;1;3;3;6;15;4;1;2
>54;8;6;4;2;1;3;3;6;15;4;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;8;6;4;2;1;3;3;6;15;4;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;12;9;6;3;2;8;4;10;16;5;1;3
>54;9;6;4;2;1;3;2;5;8;3;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;8;6;4;2;1;3;3;6;15;4;1;2
>54;8;6;4;2;1;3;3;6;8;2;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;9;6;3;2;1;4;3;7;15;4;1;2
>54;9;6;4;2;1;3;4;8;13;3;1;2
>54;10;7;4;2;1;3;4;8;15;5;1;2
>54;8;6;4;2;1;3;5;7;12;3;1;2
>54;12;8;5;3;2;6;4;9;23;5;1;4
>54;10;7;4;3;2;5;4;8;19;6;1;3
>54;8;5;3;2;1;4;3;6;10;2;1;2
>54;8;6;3;2;1;5;4;6;9;3;1;2
>54;7;5;3;2;1;4;3;6;9;2;1;2
>54;8;6;4;2;1;3;2;5;7;3;1;2
>54;8;6;4;2;1;3;5;7;12;3;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;12;9;6;4;3;5;4;10;15;6;1;3
>54;8;6;4;2;1;3;5;6;7;3;1;2
>54;8;6;4;2;1;3;3;7;14;4;1;2
>54;8;6;3;2;1;4;3;7;10;2;1;2
>54;8;6;4;2;1;3;4;6;14;3;1;2
>54;8;6;4;2;1;3;3;6;15;4;1;2
>54;8;6;4;2;1;3;2;5;17;4;1;3
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;12;8;6;3;2;4;5;9;21;4;1;3
>54;8;6;4;2;1;3;2;5;7;2;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;9;6;3;2;1;4;3;7;15;4;1;2
>54;8;6;4;2;1;3;2;6;10;3;1;2
>54;9;6;4;2;1;3;4;6;10;3;1;2
>54;8;6;4;2;1;3;2;5;7;3;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;12;8;5;3;2;4;4;7;19;6;1;3
>54;12;9;5;3;2;4;6;10;19;4;1;3
>54;8;6;4;2;1;3;2;5;7;3;1;2
>54;12;8;6;3;2;4;5;9;17;4;1;3
>54;8;6;4;2;1;3;5;7;12;3;1;2
>54;12;9;6;4;3;5;7;10;12;4;1;3
>54;8;6;4;2;1;3;4;7;13;3;1;2
>54;9;6;4;2;1;3;4;7;14;3;1;2
>54;9;7;4;2;1;3;4;8;14;3;1;2
